"","age","gender","income","education","country","winnerN","P_OTwin_late","P_OTwin_early","otherTeam_distance_before","ownTeam_distance_before","wholeGroup_distance_before","session","treatment","dgOffer"
"1","55","Female",7,4,"US","ownTeam",NA,NA,-4,56,-69,29,"S2_1",0.3
"2","36","Female",10,5,"US","deadLock",NA,NA,18,101,37,8,"S2_3",0
"3","34","Female",5,2,"US","otherTeam",0,0.5,31,75,54,11,"S2_2",0.1
"4","27","Male",1,2,"US","ownTeam",NA,1,5,7,56,11,"S2_2",0
"5","56","Male",6,2,"US","ownTeam",NA,NA,-54,102,97,15,"S2_2",0
"6","21","Male",3,4,"US","deadLock",NA,NA,-50,125,125,12,"S2_2",0.2
"7","34","Male",7,5,"US","otherTeam",0,0,89,66,122,19,"S2_2",0.3
"8","57","Female",4,4,"US","deadLock",NA,NA,3,95,125,1,"S2_3",0.05
"9","51","Male",9,4,"US","otherTeam",0.035714286,0,44,19,53,15,"S2_2",0
"10","25","Male",5,4,"US","otherTeam",0,0,-19,-66,33,14,"S2_2",0
"11","21","Male",6,4,"US","deadLock",NA,0,47,25,48,7,"S2_3",0.1
"12","21","Male",3,4,"US","otherTeam",NA,1,34,57,49,27,"S2_1",0.15
"13","27","Male",5,3,"US","deadLock",0,0,13,119,125,20,"S2_2",0
"14","33","Male",6,6,"US","ownTeam",NA,NA,41,79,65,28,"S2_1",0
"15","56","Female",1,6,"US","deadLock",0,NA,1,125,125,20,"S2_2",0.15
"16","32","Male",6,5,"US","ownTeam",NA,0,-100,125,56,27,"S2_1",0
"17","28","Male",9,2,"US","otherTeam",0.065789474,0.375,0,1,27,21,"S2_1",0
"18","32","Female",8,5,"US","ownTeam",NA,NA,59,96,124,25,"S2_1",0.1
"19","61","Male",6,2,"US","deadLock",NA,NA,-100,107,21,6,"S2_3",0
"20","40","Male",6,5,"US","otherTeam",0.015873016,0,65,47,30,25,"S2_1",0.15
"21","54","Female",4,6,"US","otherTeam",0,1,13,125,72,23,"S2_1",0.2
"22","41","Male",4,5,"non-US","ownTeam",NA,NA,16,82,104,29,"S2_1",0.3
"23","26","Male",6,5,"US","otherTeam",0.0625,0,-50,50,22,13,"S2_2",0
"24","34","Female",8,2,"US","otherTeam",0.692913386,1,-50,-50,-50,14,"S2_2",0.1
"25","24","Male",5,5,"US","ownTeam",NA,1,47,40,40,14,"S2_2",0
"26","22","Female",4,4,"US","ownTeam",NA,NA,35,28,22,22,"S2_1",0
"27","29","Male",6,2,"US","deadLock",NA,NA,6,74,38,12,"S2_2",0
"28","54","Female",3,4,"US","ownTeam",NA,NA,-9,112,106,29,"S2_1",0
"29","26","Male",4,5,"US","ownTeam",NA,NA,26,53,89,28,"S2_1",0
"30","25","Female",5,5,"US","otherTeam",0.636942675,0.428571429,119,125,114,30,"S2_1",0
"31","22","Male",6,5,"US","otherTeam",0.082802548,0.144578313,-18,74,47,9,"S2_3",0.05
"32","32","Female",5,4,"US","ownTeam",NA,NA,-24,61,5,16,"S2_2",0.05
"33","28","Male",5,4,"US","ownTeam",NA,NA,-54,56,79,30,"S2_1",0
"34","33","Male",5,5,"non-US","otherTeam",0,0.037037037,11,113,101,16,"S2_2",0
"35","32","Male",4,5,"non-US","ownTeam",0,0.044444444,125,124,34,27,"S2_1",0
"36","25","Male",8,5,"US","deadLock",NA,0.727272727,104,125,125,24,"S2_1",0
"37","48","Male",4,4,"US","deadLock",NA,NA,17,3,16,20,"S2_2",0.1
"38","34","Male",7,5,"US","deadLock",NA,NA,125,125,39,5,"S2_3",0
"39","26","Female",6,5,"US","otherTeam",NA,NA,-41,39,21,2,"S2_3",0
"40","26","Female",6,5,"US","otherTeam",1,1,-23,75,38,11,"S2_2",0
"41","20","Female",7,4,"US","ownTeam",NA,NA,21,48,12,23,"S2_1",0.2
"42","23","Male",2,4,"US","otherTeam",0,0.954545455,-5,63,54,22,"S2_1",0.1
"43","26","Male",1,5,"non-US","otherTeam",1,NA,-50,-50,-50,9,"S2_3",0.1
"44","48","Female",3,6,"US","deadLock",0,0,0,104,125,12,"S2_2",0.2
"45","28","Female",4,3,"US","deadLock",NA,NA,2,23,13,8,"S2_3",0.2
"46","25","Female",6,5,"US","ownTeam",NA,NA,-13,47,20,28,"S2_1",0
"47","22","Male",5,2,"US","deadLock",NA,NA,8,25,13,24,"S2_1",0.1
"48","53","Male",3,5,"US","otherTeam",0,0.03125,33,96,86,25,"S2_1",0
"49","53","Female",2,5,"US","otherTeam",0,0.147058824,24,72,119,23,"S2_1",0.1
"50","27","Male",6,5,"US","ownTeam",NA,NA,18,66,31,27,"S2_1",0.05
"51","24","Female",4,2,"US","otherTeam",1,1,1,71,9,26,"S2_1",0
"52","25","Female",6,4,"US","otherTeam",1,1,-8,62,26,4,"S2_3",0
"53","26","Male",5,5,"non-US","ownTeam",NA,NA,-50,-50,-50,9,"S2_3",0.25
"54","27","Male",1,5,"non-US","otherTeam",1,1,-50,-50,-50,13,"S2_2",0.1
"55","36","Male",3,3,"US","otherTeam",0.184713376,0,125,125,125,14,"S2_2",0.2
"56","23","Male",2,5,"US","ownTeam",NA,NA,-22,88,51,4,"S2_3",0
"57","34","Male",7,4,"US","deadLock",NA,NA,-100,102,102,20,"S2_2",0
"58","67","Male",7,5,"US","otherTeam",0,0.095238095,-84,123,125,30,"S2_1",0.2
"59","29","Male",3,4,"US","otherTeam",1,1,6,39,21,19,"S2_2",0.2
"60","42","Female",10,6,"US","ownTeam",NA,0,34,125,125,13,"S2_2",0
"61","22","Female",9,5,"US","otherTeam",1,1,39,63,49,17,"S2_2",0
"62","31","Female",8,5,"US","ownTeam",NA,1,3,29,49,29,"S2_1",0
"63","32","Female",6,5,"US","otherTeam",0.41025641,1,-50,-50,-50,17,"S2_2",0
"64","33","Male",2,5,"US","deadLock",NA,NA,11,9,44,3,"S2_3",0
"65","24","Male",2,5,"non-US","deadLock",0.5,1,78,60,42,6,"S2_3",0.1
"66","33","Female",9,3,"US","ownTeam",NA,1,12,98,55,29,"S2_1",0.05
"67",NA,NA,NA,NA,NA,"otherTeam",1,NA,-50,-50,-50,18,"S2_2",NA
"68","46","Female",9,5,"US","deadLock",NA,0,125,125,125,1,"S2_3",0
"69","43","Male",9,4,"US","deadLock",1,1,12,80,16,5,"S2_3",0.1
"70","25","Female",1,4,"US","otherTeam",1,1,-100,125,58,23,"S2_1",0.05
"71","46","Female",5,6,"US","otherTeam",0,0,28,125,125,15,"S2_2",0.2
"72","30","Female",3,4,"US","ownTeam",NA,NA,-50,-50,-50,19,"S2_2",0
"73","22","Male",6,5,"US","otherTeam",0.169811321,0,-100,122,125,13,"S2_2",0
"74","33","Male",6,2,"US","ownTeam",NA,1,-100,125,54,11,"S2_2",0
"75","62","Male",5,5,"US","ownTeam",NA,NA,4,69,68,18,"S2_2",0.15
"76","36","Female",7,5,"US","deadLock",0.818181818,0.416666667,125,125,125,8,"S2_3",0.2
"77","50","Male",8,5,"US","ownTeam",NA,NA,19,125,125,11,"S2_2",0.4
"78","29","Female",5,6,"US","ownTeam",NA,1,22,20,34,15,"S2_2",0.2
"79","67","Female",7,6,"US","deadLock",NA,NA,2,125,25,20,"S2_2",0
"80","32","Male",8,5,"US","otherTeam",0,0.111111111,59,44,45,16,"S2_2",0.1
"81","24","Male",7,4,"US","deadLock",NA,NA,-100,88,-11,3,"S2_3",0
"82","26","Female",3,4,"US","deadLock",NA,NA,0,107,89,5,"S2_3",0
"83","34","Female",10,5,"US","otherTeam",0.956521739,1,27,62,62,21,"S2_1",0
